modo,limiar,n,dias_op,wr,gm,pm,ratio,pnl
lateral,15,165,29,56.96969696969697,134.8244680851064,-136.0,0.9913563829787234,3017.5
lateral,18,376,60,65.1595744680851,108.71428571428571,-136.0,0.7993697478991596,8819.0
lateral,20,442,73,62.89592760180995,106.0773381294964,-136.0,0.7799804274227676,7185.5
lateral,22,526,86,64.25855513307985,107.72041420118343,-136.0,0.7920618691263488,10841.5
lateral,25,601,96,65.3910149750416,104.97328244274809,-136.0,0.7718623709025595,12966.5
lateral,30,669,104,65.76980568011959,102.01136363636364,-136.0,0.7500835561497327,13741.0
tendencia,20,517,73,67.50483558994198,90.30372492836676,-136.0,0.6639979774144615,8668.0
tendencia,25,358,50,65.36312849162012,84.40598290598291,-136.0,0.6206322272498743,2887.0
tendencia,30,290,42,64.48275862068965,86.20588235294117,-136.0,0.6338667820069204,2112.5
