trades,wins,losses,ganho_medio,perda_media,ratio,wr,pnl_total,tp_hits,be_trail_hits,sl_hits,gatilho
1084,722,362,93.75415512465374,-136.0,0.6893687876812775,66.60516605166052,18458.5,3,719,362,3.75
1064,682,382,103.19721407624634,-136.0,0.7588030446782819,64.09774436090225,18428.5,3,679,382,5.0
1050,647,403,111.65455950540958,-136.0,0.8209894081280116,61.61904761904762,17432.5,4,643,403,6.0
1034,608,426,120.87088815789474,-136.0,0.8887565305727554,58.80077369439072,15553.5,4,604,426,7.0
1011,568,443,131.6980633802817,-136.0,0.9683681130903066,56.181998021760634,14556.5,4,564,443,8.0
988,509,479,152.40864440078585,-136.0,1.1206517970646017,51.51821862348178,12432.0,3,506,479,10.0
970,467,503,167.6081370449679,-136.0,1.2324127723894698,48.144329896907216,9865.0,3,464,503,12.0
