idx,data,lado,entry,nivel,dist_nivel,range_5c,range_15c,atr14,corpo_candle_ant,seq_mesma_direcao,vel_3min,excesso_sobre_nivel,hora_min_et,mfe60,mae60
56390,2025-08-08,SHORT,23668.0,23671.0,3.0,18.75,27.0,8.41,3.5,1,9.0,2.5,788,12.75,56.0
56391,2025-08-08,SHORT,23667.25,23671.0,3.75,16.5,26.25,8.11,5.0,1,1.75,3.5,789,12.0,56.75
56394,2025-08-08,SHORT,23670.0,23671.0,1.0,17.25,25.75,8.8,8.5,1,3.0,0.5,792,14.75,54.0
56398,2025-08-08,SHORT,23661.5,23671.0,9.5,19.5,23.5,9.2,5.0,2,18.0,9.25,796,6.25,62.5
56399,2025-08-08,SHORT,23664.0,23671.0,7.0,21.0,23.5,9.04,11.0,3,13.5,6.25,797,8.75,60.0
56400,2025-08-08,SHORT,23665.0,23671.0,6.0,20.5,22.5,8.7,3.25,1,7.75,5.75,798,9.75,59.0
56401,2025-08-08,SHORT,23656.75,23671.0,14.25,23.25,27.5,8.66,1.25,2,5.0,14.25,799,0.25,67.25
56403,2025-08-08,SHORT,23666.75,23671.0,4.25,13.25,27.5,8.25,7.25,1,1.75,4.0,801,9.5,57.25
56404,2025-08-08,SHORT,23665.5,23671.0,5.5,13.25,27.5,8.11,2.75,2,8.5,5.75,802,8.25,58.5
56408,2025-08-08,SHORT,23665.0,23671.0,6.0,26.25,33.75,9.25,6.75,1,12.0,6.0,806,7.75,59.0
56409,2025-08-08,SHORT,23658.25,23671.0,12.75,31.25,33.75,9.2,12.0,2,24.75,12.75,807,1.0,65.75
56412,2025-08-08,SHORT,23661.25,23671.0,9.75,19.75,33.75,8.66,0.25,1,3.25,9.5,810,1.0,62.75
57704,2025-08-11,SHORT,23767.5,23773.0,5.5,13.25,43.75,6.82,2.0,1,5.5,5.25,722,34.25,37.0
57708,2025-08-11,SHORT,23765.25,23773.0,7.75,9.0,24.25,5.77,0.75,2,4.25,7.5,726,32.0,39.25
57709,2025-08-11,SHORT,23768.25,23773.0,4.75,11.25,23.25,5.77,0.25,3,3.5,5.0,727,35.0,36.25
57739,2025-08-11,SHORT,23771.25,23773.0,1.75,20.5,20.75,6.73,1.0,4,9.75,2.0,757,53.5,4.25
57740,2025-08-11,SHORT,23770.5,23773.0,2.5,15.25,20.75,6.68,7.75,5,9.25,2.75,758,53.75,3.25
57741,2025-08-11,SHORT,23770.25,23773.0,2.75,12.75,20.75,6.46,1.0,6,8.0,2.25,759,66.5,0.25
57742,2025-08-11,SHORT,23767.5,23773.0,5.5,16.0,25.25,6.21,0.25,1,3.5,5.5,760,63.75,0.5
57868,2025-08-11,LONG,23668.75,23667.75,1.0,42.5,48.0,8.95,23.5,2,18.5,1.0,886,23.5,29.25
57869,2025-08-11,LONG,23674.75,23667.75,7.0,37.75,48.0,9.16,12.0,1,5.75,7.25,887,17.5,39.0
57870,2025-08-11,LONG,23675.75,23667.75,8.0,37.5,48.0,9.34,6.25,2,18.75,7.75,888,16.5,40.0
57871,2025-08-11,LONG,23678.75,23667.75,11.0,32.0,48.0,9.36,0.75,3,10.5,11.5,889,13.5,45.25
57876,2025-08-11,LONG,23671.25,23667.75,3.5,19.5,48.0,10.2,1.5,2,15.75,4.25,894,21.0,71.5
57877,2025-08-11,LONG,23680.5,23667.75,12.75,19.5,47.75,10.5,10.0,3,3.75,12.75,895,11.75,84.75
57895,2025-08-11,LONG,23673.0,23667.75,5.25,13.75,22.25,6.61,1.0,1,5.25,4.75,913,4.5,85.5
57896,2025-08-11,LONG,23675.5,23667.75,7.75,13.75,21.75,6.48,5.25,2,4.25,7.75,914,0.25,88.0
57897,2025-08-11,LONG,23670.5,23667.75,2.75,16.0,22.5,6.68,2.5,1,7.5,3.0,915,4.0,83.0
57903,2025-08-11,LONG,23672.5,23667.75,4.75,19.75,29.5,8.0,1.0,4,10.0,5.5,921,2.0,85.0
57904,2025-08-11,LONG,23669.25,23667.75,1.5,17.75,29.5,7.79,9.75,5,5.5,1.25,922,3.0,81.75
57905,2025-08-11,LONG,23668.5,23667.75,0.75,17.75,29.5,7.64,3.5,1,5.0,1.5,923,3.75,81.0
57906,2025-08-11,LONG,23667.5,23667.75,0.25,12.0,29.5,7.59,0.0,1,5.25,0.25,924,3.25,80.0
57907,2025-08-11,LONG,23667.75,23667.75,0.0,11.5,29.5,7.66,0.5,1,1.0,0.25,925,1.5,80.25
58944,2025-08-12,SHORT,23796.25,23804.5,8.25,45.75,90.75,21.89,6.25,1,8.75,8.25,582,174.25,12.0
58945,2025-08-12,SHORT,23801.5,23804.5,3.0,28.5,93.0,22.48,8.0,1,7.0,3.5,583,179.5,6.75
58946,2025-08-12,SHORT,23791.25,23804.5,13.25,25.75,98.0,23.3,4.75,2,3.0,13.5,584,169.25,3.0
59028,2025-08-12,SHORT,23801.0,23804.5,3.5,28.25,59.25,11.38,0.25,1,14.0,3.5,666,2.75,70.0
59031,2025-08-12,SHORT,23800.5,23804.5,4.0,25.5,71.0,10.84,2.25,3,0.75,4.25,669,1.75,70.5
60374,2025-08-13,SHORT,23947.5,23950.0,2.5,27.0,58.5,13.66,6.75,2,6.25,2.75,632,55.25,25.75
60389,2025-08-13,SHORT,23943.25,23950.0,6.75,31.75,31.75,12.46,9.25,1,21.75,6.75,647,51.0,26.75
60391,2025-08-13,SHORT,23947.0,23950.0,3.0,40.75,40.75,13.21,9.0,3,10.75,3.0,649,54.75,23.0
60394,2025-08-13,SHORT,23946.0,23950.0,4.0,29.25,40.75,12.61,6.25,1,0.75,3.75,652,53.75,24.0
60405,2025-08-13,SHORT,23946.5,23950.0,3.5,20.5,37.5,10.23,1.75,1,13.0,3.75,663,54.25,11.75
60406,2025-08-13,SHORT,23937.25,23950.0,12.75,25.75,33.25,10.09,7.25,1,14.25,12.5,664,45.0,21.0
60425,2025-08-13,SHORT,23942.5,23950.0,7.5,43.75,56.5,12.82,10.0,5,17.25,8.0,683,34.75,15.75
60426,2025-08-13,SHORT,23944.75,23950.0,5.25,42.0,58.5,12.95,8.0,6,19.25,5.25,684,37.0,13.5
60427,2025-08-13,SHORT,23942.0,23950.0,8.0,30.25,58.5,12.43,2.25,7,7.5,8.25,685,34.25,16.25
60428,2025-08-13,SHORT,23945.25,23950.0,4.75,27.5,58.5,11.68,3.0,1,3.75,4.25,686,37.5,13.0
60429,2025-08-13,SHORT,23939.25,23950.0,10.75,20.0,58.5,11.62,3.75,1,6.0,11.25,687,31.5,19.0
60435,2025-08-13,SHORT,23945.75,23950.0,4.25,29.75,45.75,11.86,4.0,2,20.5,4.5,693,47.0,12.5
60436,2025-08-13,SHORT,23942.5,23950.0,7.5,29.75,42.0,11.12,15.5,3,16.5,7.25,694,43.75,15.75
60437,2025-08-13,SHORT,23938.0,23950.0,12.0,29.75,34.0,11.14,3.0,1,7.0,12.75,695,39.25,20.25
60444,2025-08-13,SHORT,23946.0,23950.0,4.0,26.0,31.0,10.46,8.75,3,18.25,3.25,702,47.25,12.25
60448,2025-08-13,SHORT,23948.25,23950.0,1.75,22.25,36.5,9.66,2.0,1,1.25,1.25,706,49.5,2.75
60449,2025-08-13,SHORT,23947.25,23950.0,2.75,15.0,36.5,8.89,5.25,2,10.25,3.25,707,48.5,3.75
60450,2025-08-13,SHORT,23946.75,23950.0,3.25,14.75,36.5,8.73,1.5,3,7.5,3.25,708,48.0,4.25
60451,2025-08-13,SHORT,23947.0,23950.0,3.0,17.5,36.5,8.7,0.5,4,1.75,3.0,709,48.25,4.0
60452,2025-08-13,SHORT,23949.5,23950.0,0.5,14.0,36.5,8.32,0.25,1,2.75,0.5,710,50.75,1.5
60453,2025-08-13,SHORT,23941.75,23950.0,8.25,10.25,36.5,8.52,2.5,2,4.5,7.75,711,55.75,4.0
60548,2025-08-13,SHORT,23938.0,23950.0,12.0,17.0,48.75,7.62,5.0,2,5.0,12.0,806,37.25,16.25
60553,2025-08-13,SHORT,23938.25,23950.0,11.75,12.5,46.75,7.66,4.5,1,4.25,11.75,811,37.5,16.0
60596,2025-08-13,SHORT,23942.75,23950.0,7.25,16.25,17.0,6.45,4.5,1,8.25,6.25,854,55.5,11.5
60598,2025-08-13,SHORT,23942.5,23950.0,7.5,24.0,24.75,7.14,8.0,3,6.75,7.0,856,55.25,5.5
60599,2025-08-13,SHORT,23943.25,23950.0,6.75,22.5,24.75,7.18,7.25,1,0.25,6.5,857,56.0,4.25
60640,2025-08-13,SHORT,23946.25,23950.0,3.75,19.25,26.0,6.77,8.25,5,14.75,3.5,898,34.75,9.0
60641,2025-08-13,SHORT,23935.75,23950.0,14.25,17.75,25.5,7.12,4.75,6,2.5,14.5,899,24.25,20.25
60664,2025-08-13,SHORT,23949.0,23950.0,1.0,16.25,29.5,6.29,6.75,1,9.5,0.75,922,37.5,11.0
60666,2025-08-13,SHORT,23948.75,23950.0,1.25,18.25,31.5,6.38,4.0,3,5.0,1.0,924,37.25,11.25
60667,2025-08-13,SHORT,23941.25,23950.0,8.75,16.75,29.5,6.36,3.75,1,8.25,9.0,925,29.75,18.75
60695,2025-08-13,SHORT,23946.25,23950.0,3.75,29.25,35.5,8.27,2.75,5,23.0,4.0,953,24.25,13.75
60696,2025-08-13,SHORT,23938.5,23950.0,11.5,30.25,38.25,8.68,9.25,6,5.0,11.25,954,16.5,21.5
60697,2025-08-13,SHORT,23943.75,23950.0,6.25,27.0,38.25,8.82,7.5,1,7.5,6.0,955,21.75,16.25
60698,2025-08-13,SHORT,23949.75,23950.0,0.25,18.75,41.0,9.34,5.5,1,3.5,0.5,956,27.75,10.25
60699,2025-08-13,SHORT,23949.75,23950.0,0.25,17.0,41.0,8.89,5.75,2,11.0,0.25,957,27.75,10.25
61810,2025-08-14,LONG,23888.5,23886.0,2.5,56.0,88.0,13.7,3.75,1,7.5,2.25,689,54.25,23.75
61811,2025-08-14,LONG,23888.0,23886.0,2.0,47.25,88.0,13.25,12.5,2,15.75,2.0,690,54.75,23.25
61812,2025-08-14,LONG,23891.5,23886.0,5.5,30.5,85.25,13.7,0.5,1,15.25,5.25,691,51.25,26.75
61826,2025-08-14,LONG,23887.25,23886.0,1.25,19.0,34.0,13.25,2.5,2,10.5,1.25,705,55.5,22.5
61859,2025-08-14,LONG,23894.25,23886.0,8.25,30.5,58.75,13.0,9.25,2,27.5,8.5,738,78.25,18.75
61860,2025-08-14,LONG,23892.5,23886.0,6.5,33.0,54.25,12.8,10.25,3,17.25,7.0,739,80.0,17.0
61869,2025-08-14,LONG,23888.0,23886.0,2.0,28.0,46.0,13.32,4.75,1,11.75,1.25,748,88.0,9.0
61870,2025-08-14,LONG,23886.75,23886.0,0.75,25.75,46.0,12.57,11.0,2,16.75,0.75,749,92.0,3.75
61872,2025-08-14,LONG,23893.5,23886.0,7.5,25.75,36.75,11.89,3.0,4,6.0,7.25,751,86.5,5.75
61873,2025-08-14,LONG,23897.25,23886.0,11.25,20.25,35.25,11.79,9.75,1,11.0,11.75,752,82.75,9.25
61884,2025-08-14,LONG,23890.0,23886.0,4.0,25.0,39.25,11.57,4.25,1,18.5,3.5,763,90.0,2.0
61885,2025-08-14,LONG,23898.0,23886.0,12.0,25.0,35.25,11.64,18.0,2,14.75,12.0,764,82.0,1.25
63082,2025-08-15,LONG,23852.0,23841.25,10.75,44.25,82.0,21.86,12.75,3,17.75,10.25,581,29.0,81.75
63105,2025-08-15,LONG,23841.25,23841.25,0.0,76.25,76.25,21.93,6.75,1,46.75,0.25,604,39.75,56.0
63106,2025-08-15,LONG,23854.0,23841.25,12.75,88.75,88.75,22.05,14.5,1,18.5,12.25,605,27.0,68.75
63107,2025-08-15,LONG,23847.0,23841.25,5.75,70.5,93.0,22.11,12.25,2,19.25,5.75,606,34.0,61.75
63108,2025-08-15,LONG,23849.75,23841.25,8.5,45.75,93.0,22.07,7.0,1,8.5,8.75,607,31.25,64.5
63109,2025-08-15,LONG,23850.75,23841.25,9.5,36.5,93.0,20.5,3.0,1,3.25,9.0,608,30.25,65.5
63133,2025-08-15,LONG,23848.0,23841.25,6.75,31.5,37.5,14.8,3.0,1,22.75,6.25,632,7.5,62.75
63134,2025-08-15,LONG,23846.5,23841.25,5.25,32.25,37.5,14.46,11.0,1,9.0,5.5,633,9.0,61.25
63137,2025-08-15,LONG,23849.0,23841.25,7.75,33.5,47.75,14.82,1.75,1,2.0,7.5,636,6.5,63.75
63141,2025-08-15,LONG,23848.25,23841.25,7.0,25.0,47.75,14.29,0.25,1,7.5,7.0,640,7.25,74.0
63144,2025-08-15,LONG,23845.5,23841.25,4.25,28.0,49.25,14.46,11.25,2,2.0,5.0,643,1.5,98.25
64481,2025-08-18,LONG,23749.0,23739.5,9.5,34.0,69.75,14.79,11.5,3,10.0,9.5,600,75.25,30.0
64531,2025-08-18,LONG,23748.75,23739.5,9.25,36.5,69.0,12.84,13.75,1,18.5,9.5,650,35.5,20.0
64571,2025-08-18,LONG,23744.5,23739.5,5.0,23.5,32.5,9.04,7.0,1,7.5,4.75,690,33.25,15.75
64573,2025-08-18,LONG,23742.25,23739.5,2.75,25.0,35.25,8.98,5.75,3,8.25,2.5,692,38.25,13.5
64579,2025-08-18,LONG,23742.0,23739.5,2.5,15.0,38.25,8.86,0.0,1,4.5,3.0,698,38.5,6.75
64580,2025-08-18,LONG,23753.0,23739.5,13.5,26.0,36.75,9.54,12.0,2,21.5,13.5,699,27.5,17.75
64582,2025-08-18,LONG,23744.75,23739.5,5.25,26.0,32.0,9.2,3.25,1,2.25,5.25,701,35.75,9.5
64583,2025-08-18,LONG,23743.75,23739.5,4.25,26.0,32.0,8.84,4.25,2,8.5,5.0,702,36.75,8.5
64584,2025-08-18,LONG,23742.5,23739.5,3.0,15.25,29.5,8.55,0.25,3,7.0,3.25,703,38.0,7.25
64585,2025-08-18,LONG,23741.5,23739.5,2.0,12.75,26.0,7.96,1.0,4,3.75,1.5,704,39.0,6.25
64586,2025-08-18,LONG,23744.5,23739.5,5.0,12.0,26.0,7.82,1.5,5,0.0,5.0,705,36.0,9.25
64587,2025-08-18,LONG,23750.5,23739.5,11.0,13.25,26.0,7.95,3.0,1,8.0,11.25,706,30.0,15.25
64588,2025-08-18,LONG,23754.0,23739.5,14.5,14.25,26.0,8.12,6.25,2,13.5,15.0,707,26.5,22.75
64597,2025-08-18,LONG,23741.5,23739.5,2.0,15.5,19.0,7.04,1.75,2,7.75,2.0,716,39.0,19.0
64598,2025-08-18,LONG,23745.0,23739.5,5.5,13.5,19.5,7.32,9.5,1,4.75,5.25,717,35.5,22.5
64599,2025-08-18,LONG,23748.25,23739.5,8.75,13.0,19.5,7.59,3.25,1,3.25,8.5,718,32.25,25.75
64600,2025-08-18,LONG,23745.75,23739.5,6.25,13.0,19.5,7.5,3.0,2,3.75,5.75,719,34.75,23.25
64602,2025-08-18,LONG,23751.0,23739.5,11.5,11.0,19.5,6.88,2.0,1,3.0,11.5,721,29.5,28.5
64639,2025-08-18,LONG,23740.5,23739.5,1.0,40.75,45.25,8.07,11.75,4,25.25,0.75,758,59.5,18.0
64640,2025-08-18,LONG,23741.5,23739.5,2.0,36.75,45.25,8.34,7.25,5,18.25,2.0,759,58.5,19.0
64641,2025-08-18,LONG,23740.75,23739.5,1.25,31.25,45.25,8.2,1.0,1,7.5,1.5,760,59.25,18.25
64642,2025-08-18,LONG,23746.5,23739.5,7.0,28.25,45.25,8.54,0.5,1,5.5,6.25,761,53.5,24.0
64643,2025-08-18,LONG,23748.25,23739.5,8.75,15.5,45.25,8.73,5.0,1,6.0,8.0,762,51.75,25.75
64644,2025-08-18,LONG,23743.5,23739.5,4.0,13.75,45.25,8.73,1.0,2,2.25,3.75,763,56.5,21.0
64646,2025-08-18,LONG,23741.5,23739.5,2.0,13.75,45.25,8.68,4.25,2,6.0,2.0,765,58.5,19.0
64647,2025-08-18,LONG,23743.0,23739.5,3.5,13.75,45.25,8.64,2.25,1,0.25,3.5,766,57.0,20.5
64652,2025-08-18,LONG,23745.25,23739.5,5.75,24.5,41.0,9.68,11.5,1,12.25,6.25,771,54.75,13.75
64653,2025-08-18,LONG,23745.5,23739.5,6.0,25.75,28.25,9.07,10.0,2,20.25,5.75,772,54.5,14.0
64657,2025-08-18,LONG,23743.0,23739.5,3.5,14.0,28.25,9.12,4.25,1,4.25,3.75,776,57.0,11.5
64662,2025-08-18,LONG,23743.0,23739.5,3.5,13.0,25.75,8.48,0.75,1,8.0,3.25,781,57.0,2.25
64663,2025-08-18,LONG,23744.0,23739.5,4.5,15.75,25.75,8.48,7.5,2,10.0,4.75,782,56.0,2.5
64664,2025-08-18,LONG,23744.75,23739.5,5.25,14.25,25.75,8.11,1.25,3,9.5,5.0,783,55.25,2.75
64665,2025-08-18,LONG,23751.5,23739.5,12.0,18.75,29.25,7.61,0.5,4,8.5,11.75,784,48.5,9.5
64670,2025-08-18,LONG,23743.75,23739.5,4.25,12.5,23.0,6.59,0.5,3,7.5,4.0,789,56.25,1.25
64671,2025-08-18,LONG,23747.5,23739.5,8.0,12.0,23.0,6.61,7.5,4,2.5,8.25,790,52.5,2.0
65833,2025-08-19,LONG,23724.75,23719.0,5.75,46.75,46.75,8.07,6.75,1,36.25,5.25,572,6.5,111.75
65866,2025-08-19,LONG,23721.0,23719.0,2.0,50.0,82.0,18.29,11.25,3,43.5,2.75,605,7.75,206.5
65867,2025-08-19,LONG,23719.25,23719.0,0.25,51.5,82.75,17.7,31.25,4,40.0,0.5,606,9.5,204.75
65871,2025-08-19,LONG,23725.25,23719.0,6.25,21.75,56.5,16.54,7.0,4,6.5,6.25,610,2.5,210.75
65872,2025-08-19,LONG,23722.25,23719.0,3.25,21.75,56.5,15.95,17.0,1,7.5,3.0,611,3.5,207.75
71354,2025-08-25,LONG,23472.75,23462.0,10.75,63.0,63.0,9.39,1.5,1,25.0,10.5,572,88.25,29.5
71355,2025-08-25,LONG,23466.25,23462.0,4.25,63.0,63.0,10.29,24.0,1,29.75,4.25,573,94.75,23.0
71357,2025-08-25,LONG,23470.0,23462.0,8.0,75.0,75.0,13.09,17.75,3,2.75,7.75,575,91.0,21.75
71369,2025-08-25,LONG,23469.0,23462.0,7.0,52.75,68.5,21.61,29.5,3,18.0,7.0,587,98.0,10.5
71370,2025-08-25,LONG,23465.0,23462.0,3.0,52.75,68.5,21.43,18.0,1,17.0,1.75,588,102.0,0.25
71465,2025-08-25,SHORT,23600.5,23607.5,7.0,22.0,34.5,9.0,11.25,2,16.75,6.5,683,22.0,15.75
71474,2025-08-25,SHORT,23605.0,23607.5,2.5,15.5,26.25,7.38,3.75,1,6.75,2.5,692,26.5,11.25
71475,2025-08-25,SHORT,23599.5,23607.5,8.0,15.5,26.25,7.55,9.0,1,0.75,8.25,693,21.0,16.75
71476,2025-08-25,SHORT,23596.75,23607.5,10.75,15.5,26.25,7.55,5.75,1,1.25,11.25,694,18.25,19.5
71497,2025-08-25,SHORT,23604.25,23607.5,3.25,27.75,33.75,8.79,2.5,5,4.0,3.0,715,15.5,9.5
71498,2025-08-25,SHORT,23607.5,23607.5,0.0,13.25,33.75,8.73,7.25,1,2.5,0.25,716,18.75,6.25
71499,2025-08-25,SHORT,23597.25,23607.5,10.25,19.25,33.75,8.77,3.0,1,14.0,9.5,717,8.5,16.5
71502,2025-08-25,SHORT,23600.75,23607.5,6.75,13.5,32.0,8.25,2.75,2,3.25,6.25,720,12.0,13.0
71503,2025-08-25,SHORT,23606.25,23607.5,1.25,11.75,32.0,8.27,1.25,3,8.75,0.75,721,17.5,7.5
71504,2025-08-25,SHORT,23602.5,23607.5,5.0,11.75,32.0,8.5,6.0,4,2.0,5.25,722,17.75,11.25
71505,2025-08-25,SHORT,23604.25,23607.5,3.25,10.75,32.0,8.07,4.0,1,3.5,2.75,723,19.75,9.5
71506,2025-08-25,SHORT,23602.0,23607.5,5.5,10.25,32.0,8.09,2.25,1,4.5,5.25,724,18.0,11.75
71507,2025-08-25,SHORT,23601.5,23607.5,6.0,10.25,27.75,6.89,2.0,1,0.5,5.75,725,29.75,12.25
71508,2025-08-25,SHORT,23605.25,23607.5,2.25,8.25,20.25,6.89,0.25,2,0.0,2.75,726,33.5,8.5
71512,2025-08-25,SHORT,23605.5,23607.5,2.0,14.5,17.75,6.73,0.5,4,3.5,2.0,730,33.75,7.25
71513,2025-08-25,SHORT,23603.25,23607.5,4.25,15.25,17.75,6.84,6.5,1,7.25,4.25,731,31.5,9.5
71514,2025-08-25,SHORT,23606.25,23607.5,1.25,15.25,17.75,7.02,2.25,2,5.75,1.5,732,34.5,6.5
71515,2025-08-25,SHORT,23607.0,23607.5,0.5,15.25,16.75,7.05,2.75,1,1.75,0.25,733,35.25,5.75
71518,2025-08-25,SHORT,23605.75,23607.5,1.75,10.5,15.25,6.34,2.25,1,1.25,1.5,736,34.0,7.0
71519,2025-08-25,SHORT,23603.5,23607.5,4.0,9.75,15.25,6.2,3.5,2,7.5,4.5,737,31.75,9.25
71520,2025-08-25,SHORT,23602.5,23607.5,5.0,9.75,15.25,6.12,2.75,3,5.75,4.75,738,30.75,10.25
71522,2025-08-25,SHORT,23596.25,23607.5,11.25,18.0,20.75,7.02,6.25,1,6.75,11.25,740,24.5,16.5
71523,2025-08-25,SHORT,23599.5,23607.5,8.0,17.0,20.75,6.82,12.0,1,4.0,8.75,741,27.75,13.25
71524,2025-08-25,SHORT,23603.25,23607.5,4.25,17.0,20.75,6.84,2.5,1,5.75,4.5,742,31.5,9.5
71525,2025-08-25,SHORT,23606.0,23607.5,1.5,17.0,20.75,7.09,3.5,2,10.0,1.25,743,34.25,6.75
71526,2025-08-25,SHORT,23603.0,23607.5,4.5,15.5,19.5,6.98,3.0,3,4.5,4.25,744,31.25,9.75
71527,2025-08-25,SHORT,23603.0,23607.5,4.5,10.75,18.25,6.39,2.75,1,0.5,4.0,745,31.25,9.75
71528,2025-08-25,SHORT,23600.5,23607.5,7.0,8.75,18.25,6.27,0.5,1,6.0,7.25,746,28.75,12.25
71529,2025-08-25,SHORT,23601.75,23607.5,5.75,8.0,18.25,6.23,2.75,1,1.25,5.5,747,30.0,11.0
71530,2025-08-25,SHORT,23601.0,23607.5,6.5,7.75,18.25,6.25,1.5,1,2.25,6.25,748,29.25,11.75
71531,2025-08-25,SHORT,23601.25,23607.5,6.25,7.0,18.0,6.29,0.5,1,1.0,6.25,749,29.5,11.5
71539,2025-08-25,SHORT,23599.5,23607.5,8.0,15.0,17.75,5.34,4.75,3,5.75,7.75,757,27.75,13.25
71545,2025-08-25,SHORT,23600.25,23607.5,7.25,14.75,15.0,6.02,2.0,1,1.0,7.25,763,43.0,12.5
71546,2025-08-25,SHORT,23606.75,23607.5,0.75,13.5,17.75,6.14,0.5,1,9.0,1.0,764,49.5,6.0
71547,2025-08-25,SHORT,23606.75,23607.5,0.75,14.25,21.75,6.09,6.25,1,7.0,0.75,765,49.5,6.0
71551,2025-08-25,SHORT,23604.5,23607.5,3.0,11.5,24.0,6.27,0.0,5,6.5,3.5,769,47.25,2.0
71552,2025-08-25,SHORT,23603.75,23607.5,3.75,11.5,24.0,5.93,6.5,1,6.0,3.25,770,46.5,2.75
71553,2025-08-25,SHORT,23600.5,23607.5,7.0,14.5,24.0,6.21,0.25,2,10.0,7.0,771,43.25,2.0
71554,2025-08-25,SHORT,23596.5,23607.5,11.0,16.5,24.0,5.95,3.25,3,8.0,11.5,772,39.25,5.5
72750,2025-08-26,LONG,23444.75,23443.25,1.5,71.75,75.25,19.64,26.5,5,52.75,1.75,588,109.0,17.75
72752,2025-08-26,LONG,23443.75,23443.25,0.5,72.0,91.5,20.77,8.25,7,13.25,1.25,590,110.0,6.0
74162,2025-08-27,SHORT,23599.0,23600.0,1.0,36.25,72.0,9.79,1.75,6,19.5,1.5,620,15.25,17.25
74163,2025-08-27,SHORT,23597.5,23600.0,2.5,29.5,62.75,9.61,16.25,7,17.25,2.75,621,13.75,18.75
74164,2025-08-27,SHORT,23597.5,23600.0,2.5,29.75,58.5,9.62,1.75,1,15.0,3.0,622,13.75,18.75
74166,2025-08-27,SHORT,23593.0,23600.0,7.0,22.75,60.0,9.86,4.75,1,3.75,6.5,624,9.25,23.25
74167,2025-08-27,SHORT,23596.5,23600.0,3.5,15.75,60.0,9.48,8.5,1,0.25,3.25,625,12.75,19.75
74171,2025-08-27,SHORT,23597.5,23600.0,2.5,15.5,45.75,9.16,2.25,1,3.0,2.75,629,13.75,18.75
74172,2025-08-27,SHORT,23598.25,23600.0,1.75,13.25,41.0,8.89,5.25,2,6.0,2.0,630,14.5,18.0
74188,2025-08-27,SHORT,23586.75,23600.0,13.25,27.0,32.5,8.86,1.5,2,22.0,13.5,646,14.5,23.25
74189,2025-08-27,SHORT,23594.25,23600.0,5.75,26.25,32.5,8.64,15.75,3,10.5,6.0,647,22.0,15.75
74190,2025-08-27,SHORT,23599.25,23600.0,0.75,26.0,32.5,8.73,7.25,1,3.0,0.5,648,27.0,19.0
74191,2025-08-27,SHORT,23599.5,23600.0,0.5,21.25,32.5,8.57,5.25,2,12.75,0.75,649,27.25,25.25
74192,2025-08-27,SHORT,23598.25,23600.0,1.75,20.5,32.5,8.45,0.0,3,4.75,1.25,650,26.0,26.75
74194,2025-08-27,SHORT,23592.5,23600.0,7.5,15.0,32.5,9.12,4.75,1,6.75,7.5,652,20.25,33.25
74195,2025-08-27,SHORT,23597.0,23600.0,3.0,15.0,32.5,8.86,10.5,1,1.5,2.75,653,24.75,28.75
74200,2025-08-27,SHORT,23598.75,23600.0,1.25,14.5,26.25,8.75,2.5,2,2.5,1.25,658,26.5,32.0
74206,2025-08-27,SHORT,23595.75,23600.0,4.25,14.25,19.0,7.38,0.0,1,7.25,4.5,664,23.5,35.0
74207,2025-08-27,SHORT,23592.0,23600.0,8.0,18.0,19.0,7.07,7.25,1,10.25,7.75,665,19.75,38.75
74209,2025-08-27,SHORT,23598.0,23600.0,2.0,15.0,20.75,7.11,1.75,3,2.5,2.0,667,25.75,32.75
74210,2025-08-27,SHORT,23593.5,23600.0,6.5,14.0,20.75,6.95,7.25,1,1.75,6.0,668,21.25,37.25
74211,2025-08-27,SHORT,23592.75,23600.0,7.25,12.75,20.75,7.12,4.0,1,2.25,7.5,669,20.5,38.0
74212,2025-08-27,SHORT,23596.75,23600.0,3.25,12.75,20.75,7.16,1.0,2,1.25,3.25,670,24.5,34.0
74213,2025-08-27,SHORT,23599.0,23600.0,1.0,15.0,20.75,7.2,4.0,1,5.0,1.0,671,26.75,31.75
74214,2025-08-27,SHORT,23597.75,23600.0,2.25,15.0,19.75,6.95,2.25,2,5.25,2.25,672,25.5,33.0
74215,2025-08-27,SHORT,23590.75,23600.0,9.25,15.75,19.75,7.07,1.25,1,6.25,9.5,673,18.5,40.0
74217,2025-08-27,SHORT,23598.5,23600.0,1.5,15.75,19.75,7.02,1.75,1,0.25,2.0,675,26.25,32.25
74218,2025-08-27,SHORT,23597.25,23600.0,2.75,13.0,19.75,6.89,4.25,2,6.75,2.75,676,25.0,33.5
74219,2025-08-27,SHORT,23599.5,23600.0,0.5,10.75,15.75,6.96,1.25,1,7.25,0.25,677,27.25,31.25
74221,2025-08-27,SHORT,23599.0,23600.0,1.0,10.75,15.75,6.57,0.75,2,1.5,1.25,679,26.75,31.75
74222,2025-08-27,SHORT,23594.75,23600.0,5.25,10.0,15.75,6.62,1.0,1,5.0,5.25,680,22.5,36.0
74224,2025-08-27,SHORT,23599.75,23600.0,0.25,9.5,15.75,6.38,5.75,1,0.75,0.5,682,27.5,31.0
74228,2025-08-27,SHORT,23593.75,23600.0,6.25,15.5,19.5,6.32,1.25,2,13.0,6.0,686,34.5,37.0
74229,2025-08-27,SHORT,23593.75,23600.0,6.25,15.5,19.5,6.05,9.5,3,11.25,6.25,687,44.5,37.0
