nome,n,wr,ratio,pf,exp,gm,pm,pnl,pct_be,seq,dd,hit10,hit15,hit20
"1) Baseline (3,75 / 2,50)",1084,66.60516605166052,0.6893687876812775,1.3749289080272993,17.028136531365313,93.75415512465374,-136.0,18458.5,66.32841328413284,6,1375.5,91.58186864014802,88.62164662349676,85.56891766882516
"2) BE conservador (3,75 / 1,25)",1084,66.60516605166052,0.6882485334854164,1.372694588885278,16.926660516605168,93.60180055401662,-136.0,18348.5,66.32841328413284,6,1375.5,91.58186864014802,88.62164662349676,85.56891766882516
"3) BE neutro (3,75 / 0,00)",1084,66.60516605166052,0.6882485334854164,1.372694588885278,16.926660516605168,93.60180055401662,-136.0,18348.5,66.32841328413284,6,1375.5,91.58186864014802,88.62164662349676,85.56891766882516
"4) BE tardio (5,00 / 2,50)",1064,64.09774436090225,0.7588030446782819,1.3547216661533723,17.320018796992482,103.19721407624634,-136.0,18428.5,63.81578947368421,6,1304.5,91.61168708765317,88.87841658812441,85.76814326107446
