Gatilho,ano_semslip_trades,ano_semslip_wins,ano_semslip_losses,ano_semslip_ganho_medio,ano_semslip_perda_media,ano_semslip_ratio,ano_semslip_wr,ano_semslip_pnl_total,ano_semslip_tp_hits,ano_semslip_be_trail_hits,ano_semslip_sl_hits,ano_2ticks_trades,ano_2ticks_wins,ano_2ticks_losses,ano_2ticks_ganho_medio,ano_2ticks_perda_media,ano_2ticks_ratio,ano_2ticks_wr,ano_2ticks_pnl_total,ano_2ticks_tp_hits,ano_2ticks_be_trail_hits,ano_2ticks_sl_hits,jun_2ticks_trades,jun_2ticks_wins,jun_2ticks_losses,jun_2ticks_ganho_medio,jun_2ticks_perda_media,jun_2ticks_ratio,jun_2ticks_wr,jun_2ticks_pnl_total,jun_2ticks_tp_hits,jun_2ticks_be_trail_hits,jun_2ticks_sl_hits
3.75,449,234,215,212.9102564102564,-131.0,1.6252691329027207,52.11581291759465,21656.0,19,215,215,451,223,228,201.07399103139014,-136.0,1.4784852281719862,49.44567627494457,13831.5,15,208,228,13,5,8,315.5,-136.0,2.3198529411764706,38.46153846153847,489.5,1,4,8
5.0,447,229,218,217.6353711790393,-131.0,1.6613387112903764,51.23042505592841,21280.5,19,210,218,448,219,229,205.92922374429224,-136.0,1.5141854687080312,48.88392857142857,13954.5,15,204,229,13,5,8,315.5,-136.0,2.3198529411764706,38.46153846153847,489.5,1,4,8
6.0,447,226,221,222.09734513274336,-131.0,1.6953995811659799,50.55928411633109,21243.0,19,207,221,447,212,235,214.08254716981133,-136.0,1.5741363762486127,47.427293064876956,13425.5,15,197,235,13,5,8,315.5,-136.0,2.3198529411764706,38.46153846153847,489.5,1,4,8
7.0,444,217,227,231.98387096774192,-131.0,1.7708692440285643,48.873873873873876,20603.5,19,198,227,447,208,239,220.05769230769232,-136.0,1.618071266968326,46.5324384787472,13268.0,15,193,239,13,5,8,332.0,-136.0,2.4411764705882355,38.46153846153847,572.0,1,4,8
8.0,444,216,228,233.62962962962962,-131.0,1.783432287249081,48.64864864864865,20596.0,19,197,228,445,204,241,225.0906862745098,-136.0,1.6550785755478663,45.84269662921348,13142.5,15,189,241,13,5,8,332.0,-136.0,2.4411764705882355,38.46153846153847,572.0,1,4,8
10.0,440,210,230,247.45238095238096,-131.0,1.8889494729189387,47.72727272727273,21835.0,19,191,230,442,199,243,237.5678391959799,-136.0,1.7468223470292639,45.022624434389144,14228.0,15,184,243,13,5,8,332.0,-136.0,2.4411764705882355,38.46153846153847,572.0,1,4,8
12.0,438,204,234,259.5514705882353,-131.0,1.9813089357880558,46.57534246575342,22294.5,19,185,234,441,193,248,247.60103626943004,-136.0,1.8205958549222796,43.76417233560091,14059.0,15,178,248,13,5,8,362.0,-136.0,2.661764705882353,38.46153846153847,722.0,1,4,8
