conceito,n,corrida_real,corrida_random,diff_pp,mfe_medio,mae_medio,razao_mfe_mae
"A) Gap Fill (fade > 85pt, mediana)",118,43.22033898305085,40.67796610169492,2.5423728813559308,146.45974576271186,120.02542372881356,1.2202393560686295
"B) Momentum 30min (>15pt, 4/6 barras)",137,37.95620437956204,38.68613138686132,-0.7299270072992812,98.95620437956204,106.27007299270073,0.9311765917988872
C) Squeeze 1h (range<40pt) breakout,381,51.44356955380578,42.78215223097113,8.661417322834652,39.41535433070866,38.66863517060367,1.01931071931581
