rsi,janela,zona,n,win_rate,ratio,pf,net,max_dd
10,15,25/75,368,38.31521739130435,2.0968067396355035,1.3024218074387928,1461.7800000000002,-440.97999999999877
14,15,35/65,754,39.6551724137931,1.9765267650038807,1.298860445573979,2916.34,-429.4399999999978
14,15,30/70,410,37.31707317073171,2.1804924089672317,1.2981141578676516,1633.6000000000001,-377.87999999999755
20,15,30/70,248,35.88709677419355,2.2938330423372744,1.2839694387925626,968.5800000000002,-539.3800000000011
14,10,35/65,825,39.27272727272727,1.9821726170868073,1.2818840876968574,3023.5000000000005,-432.2399999999989
10,10,25/75,381,37.270341207349084,2.143665178607775,1.2736420726456237,1391.7600000000002,-462.019999999999
14,10,30/70,436,36.69724770642202,2.1896801756898823,1.2693798119941346,1583.5600000000002,-416.49999999999744
20,15,35/65,518,35.52123552123552,2.2676657576736954,1.2492529922513773,1771.7800000000002,-365.65999999999764
20,10,35/65,565,35.575221238938056,2.2493504647296536,1.2420863829963198,1873.4000000000003,-474.4799999999984
10,15,35/65,982,39.71486761710794,1.8812377344790647,1.2393289129169514,3018.2200000000003,-645.7799999999943
10,5,25/75,433,36.25866050808314,2.1600163746074075,1.2287049667150831,1344.6800000000003,-497.15999999999957
20,10,30/70,263,34.98098859315589,2.2742275343408402,1.2235610126278205,818.9800000000001,-756.4800000000008
14,5,35/65,947,36.74762407602957,2.0879256100998758,1.2130185514436673,2710.1200000000003,-593.6399999999949
14,5,30/70,512,34.765625,2.2754133334550537,1.2126454292065856,1507.5200000000002,-480.49999999999727
10,15,30/70,689,38.02612481857765,1.9751592581656194,1.2119244160173124,1942.9400000000003,-601.059999999995
20,5,35/65,658,33.890577507598785,2.32678549845662,1.1928118762202904,1767.6800000000003,-551.5399999999985
10,10,35/65,1068,38.20224719101124,1.925534426832256,1.1903303729508492,2655.2800000000007,-683.7599999999939
10,5,35/65,1177,36.61852166525064,2.050334949667707,1.1845768945131123,2897.9200000000005,-722.8199999999979
20,5,30/70,307,33.55048859934853,2.34224202184935,1.1826025894631522,795.7200000000001,-774.6400000000004
10,10,30/70,735,36.87074829931973,2.0007259891854945,1.1685274635113558,1676.1000000000004,-853.1199999999938
10,5,30/70,841,35.6718192627824,2.080978079351812,1.153961966368842,1779.3600000000004,-1052.4199999999958
14,15,25/75,201,32.33830845771144,2.3842348029721414,1.1395239867146263,404.96000000000004,-397.01999999999987
14,10,25/75,208,31.25,2.385884605799877,1.0844930026363078,257.68000000000006,-460.1399999999999
14,5,25/75,234,31.196581196581196,2.3586724134927457,1.069460162639568,238.1400000000001,-613.7599999999995
20,15,25/75,100,24.0,2.7151457541191384,0.8574144486692015,-227.99999999999994,-480.94000000000017
20,10,25/75,101,23.762376237623762,2.7151457541191384,0.8462791960890821,-249.03999999999994,-501.98000000000013
20,5,25/75,115,24.347826086956523,2.535782183595872,0.8161138062147634,-336.5999999999999,-635.3400000000003
