config,n,wr,ratio,pf,exp,gm,pm,pnl,dd,maxseq,mfe_med,mfe_mediana,mae_med,mae_mediana,n_dias,dias_pos,dias_neg,pnl_med_dia,maior_ganho_dia,maior_perda_dia,n_janelas,aprovadas,taxa,pnl_med_jan,dd_med_jan,dd_abs_jan,trades_med_jan
BASELINE (todos os sinais),1084,66.60516605166052,0.6893687876812775,1.3749289080272993,17.028136531365313,93.75415512465374,-136.0,18458.5,1375.5,6,12.679428044280442,8.75,11.383763837638377,9.25,166,102,64,111.19578313253012,1060.5,-753.5,166,78,46.98795180722892,1161.5993975903614,528.4427710843373,1171.5,69.89156626506023
"Q1 (ATR < 8.6, 0-25%)",202,76.73267326732673,0.36100569259962045,1.1905506883604506,6.02970297029703,49.096774193548384,-136.0,1218.0,691.5,3,7.6905940594059405,6.0,7.867574257425742,5.5,48,30,18,25.375,409.0,-384.0,48,0,0.0,165.75,258.28125,511.5,25.8125
"Q2 (8.6 <= ATR < 11.9, 25-50%)",299,71.90635451505017,0.46084131326949385,1.1795343137254901,6.8595317725752505,62.674418604651166,-136.0,2051.0,1433.5,4,9.172240802675585,7.5,8.671404682274247,7.0,73,44,29,28.095890410958905,717.0,-588.0,73,0,0.0,49.86986301369863,476.541095890411,1067.5,27.767123287671232
"Q3 (11.9 <= ATR < 18.3, 50-75%)",352,71.02272727272727,0.6403676470588235,1.5695285467128028,22.444602272727273,87.09,-136.0,7900.5,916.0,4,11.761363636363637,9.0,10.068892045454545,8.5,98,62,36,80.61734693877551,886.5,-485.0,98,14,14.285714285714285,602.1122448979592,327.42857142857144,780.0,27.683673469387756
"Q4 (ATR >= 18.3, 75-100%)",406,55.41871921182266,1.0930555555555557,1.358770718232044,21.752463054187192,148.65555555555557,-136.0,8831.5,1300.5,6,17.54741379310345,13.25,15.479064039408867,13.25,104,64,40,84.91826923076923,1196.5,-544.0,104,20,19.230769230769234,878.3221153846154,480.67788461538464,925.5,37.56730769230769
