20250803 123600;22870;22870;22870;22870;2
20250803 220100;22850;22878.75;22846.25;22876.75;567
20250803 220200;22877;22896.25;22875.25;22894.5;491
20250803 220300;22894.5;22897.25;22866.5;22866.5;650
20250803 220400;22866;22872.5;22840.5;22862.5;1001
20250803 220500;22864.75;22879;22862.75;22870;395
20250803 220600;22870.25;22876;22857.25;22857.75;363
20250803 220700;22856.75;22859.5;22843;22845.5;202
20250803 220800;22845;22854;22840.25;22849.25;386
20250803 220900;22850;22850;22836.75;22839.5;216
20250803 221000;22839.25;22842;22821.75;22839;454
20250803 221100;22839;22849;22839;22845.5;241
20250803 221200;22845.25;22846;22825;22833;231
20250803 221300;22832.5;22834.25;22826.5;22830.5;124
20250803 221400;22830.75;22838.25;22829.25;22832.75;160
20250803 221500;22832.5;22833.25;22828;22832.25;91
20250803 221600;22833;22837.5;22827;22837.5;199
20250803 221700;22838;22850;22838;22847;255
20250803 221800;22847.25;22854.75;22846.75;22851;320
20250803 221900;22852.25;22860;22851.5;22855.75;272
20250803 222000;22856;22858.25;22854.75;22854.75;62
20250803 222100;22854;22858.75;22842.75;22858.5;191
20250803 222200;22859;22860;22854.25;22858.25;137
20250803 222300;22858.5;22860;22856.25;22857.25;74
20250803 222400;22857.5;22858.75;22853.75;22854;53
20250803 222500;22854.75;22857;22846;22851.75;187
20250803 222600;22852.25;22857;22851.75;22852.25;71
20250803 222700;22852;22860;22849;22859.25;92
20250803 222800;22860.25;22861.25;22852.5;22853.75;54
20250803 222900;22854;22859.5;22853.5;22857.5;57
20250803 223000;22858.75;22862.25;22858.25;22862.25;53
20250803 223100;22862.25;22872;22862.25;22870.25;258
20250803 223200;22871;22873.5;22869;22869;70
20250803 223300;22870.5;22872.5;22867.25;22872.5;33
20250803 223400;22871.5;22873.25;22863.5;22863.5;82
20250803 223500;22864.25;22875;22857.75;22873.5;183
20250803 223600;22873.75;22879.25;22870.25;22877.25;113
20250803 223700;22877.25;22884.75;22876.5;22883.75;167
20250803 223800;22883.75;22893.25;22880.5;22890;233
20250803 223900;22888.5;22891.25;22885.25;22889.5;85
20250803 224000;22889;22894.25;22889;22893.5;100
20250803 224100;22892.75;22898.75;22887.5;22893.5;233
20250803 224200;22893.5;22897.75;22891.75;22896;71
20250803 224300;22897.75;22900;22895;22896.25;105
20250803 224400;22897.75;22898.75;22890;22891.25;86
20250803 224500;22891.75;22893;22884.75;22885;94
20250803 224600;22884.5;22890;22883.5;22890;77
20250803 224700;22890.25;22898.25;22890.25;22896.25;121
20250803 224800;22897.25;22898.25;22889.75;22895.5;88
20250803 224900;22895;22904;22894.5;22902.5;149
20250803 225000;22903.25;22904.75;22894.5;22896.5;120
20250803 225100;22897.25;22904.25;22896.5;22903.75;120
20250803 225200;22902.75;22906.5;22902.25;22905.25;78
20250803 225300;22905;22906.25;22903.5;22905.25;65
20250803 225400;22905.75;22911;22905;22908.75;114
20250803 225500;22909;22913.5;22908.75;22911.25;136
20250803 225600;22912.25;22914.5;22910.5;22911.75;69
20250803 225700;22911;22915.75;22908.5;22912;135
20250803 225800;22911.75;22912.5;22907.25;22910.5;91
20250803 225900;22908;22911.75;22903.75;22908;105
20250803 230000;22907.25;22909.75;22906.75;22908.75;42
20250803 230100;22909.5;22910;22894.5;22896.5;285
20250803 230200;22896.25;22899.5;22893.25;22899;110
20250803 230300;22898;22899.75;22894;22896.5;84
20250803 230400;22897.5;22900;22895.75;22900;144
20250803 230500;22899.5;22899.75;22895;22895.75;56
20250803 230600;22895;22898.25;22893.25;22896.75;68
20250803 230700;22897.25;22897.75;22886.5;22888.25;171
20250803 230800;22888;22892.25;22883.75;22891.75;127
20250803 230900;22891.5;22898.5;22891.5;22896.75;106
20250803 231000;22895;22899;22892;22899;127
20250803 231100;22900;22900;22895;22896.5;124
20250803 231200;22896.5;22899.25;22893;22896;45
20250803 231300;22895.75;22896.5;22887;22887.75;138
20250803 231400;22888.25;22890.25;22881.75;22887.5;107
20250803 231500;22888.75;22893.75;22888.75;22893.75;87
20250803 231600;22894;22908.5;22894;22907.25;211
20250803 231700;22908.25;22919.25;22908.25;22915;203
20250803 231800;22915;22920.5;22914;22914;105
20250803 231900;22913.5;22913.5;22907.25;22911.25;81
20250803 232000;22910.25;22919;22910.25;22918.25;67
20250803 232100;22918;22919.75;22915.25;22919.75;98
20250803 232200;22919;22922;22914.5;22921.25;157
20250803 232300;22921.25;22929.5;22920.75;22927.5;215
20250803 232400;22927.5;22927.5;22921;22923.25;118
20250803 232500;22922.5;22925.5;22919;22924.5;96
20250803 232600;22923.5;22924.5;22919.75;22923;40
20250803 232700;22922.25;22931.5;22922;22924;148
20250803 232800;22925;22929;22923.75;22926.5;106
20250803 232900;22926.25;22926.75;22918.25;22921.75;91
20250803 233000;22921.75;22923.5;22916.5;22921.5;100
20250803 233100;22921.25;22921.5;22902.75;22908.5;446
20250803 233200;22908.5;22918.5;22907.75;22915.75;132
20250803 233300;22917.25;22917.5;22908.25;22909.5;105
20250803 233400;22910.25;22910.25;22901.25;22902.75;124
20250803 233500;22902.25;22905;22892;22895.5;216
20250803 233600;22894.5;22898.75;22888.5;22896;164
20250803 233700;22895.75;22900.75;22891;22899;127
20250803 233800;22898.25;22898.75;22895;22898.5;37
20250803 233900;22896.75;22900;22895;22896.25;69
20250803 234000;22896.25;22896.25;22889;22893.25;113
20250803 234100;22892.25;22897.75;22890;22893.75;139
20250803 234200;22893.25;22901.75;22891.75;22899.75;98
20250803 234300;22899.75;22900.75;22892.5;22898.75;139
20250803 234400;22898;22899.5;22884.25;22894.5;167
20250803 234500;22894.75;22903.25;22894.75;22902;142
20250803 234600;22901;22902.5;22891;22893.75;91
20250803 234700;22893.75;22904;22891.75;22902.25;134
20250803 234800;22902.5;22913.5;22902.5;22910;196
20250803 234900;22910.75;22916.25;22908.5;22916.25;144
20250803 235000;22915.75;22916.5;22911.25;22915.5;75
20250803 235100;22913.75;22923;22913.25;22921;180
20250803 235200;22920.25;22923;22917.5;22917.5;112
20250803 235300;22917;22918.5;22913;22917;103
20250803 235400;22916.75;22921.75;22915.75;22920.75;70
20250803 235500;22921;22923.5;22917.25;22922.5;120
20250803 235600;22921.5;22923.25;22917.5;22923.25;97
20250803 235700;22923;22923.5;22919;22920.25;91
20250803 235800;22919.75;22921;22915;22915.75;69
20250803 235900;22915.5;22919.5;22910.5;22919;121
20250804 000000;22918.5;22927.25;22918;22927.25;85
20250804 000100;22927.5;22928;22918.5;22921.5;197
20250804 000200;22923;22929.25;22922.25;22923.5;171
20250804 000300;22922;22928.25;22920.75;22923;62
20250804 000400;22922.75;22929.75;22922.5;22923;98
20250804 000500;22922.5;22924.25;22917.25;22920;109
20250804 000600;22920.75;22922.5;22916.5;22919.5;81
20250804 000700;22920.25;22925.5;22918.75;22923.5;135
20250804 000800;22922.5;22926;22922.25;22925.5;46
20250804 000900;22925.75;22928.5;22922.25;22922.75;107
20250804 001000;22923.5;22927.25;22919;22927.25;63
20250804 001100;22926.75;22936.75;22926.25;22935.75;249
20250804 001200;22936;22939.25;22934.5;22938.5;117
20250804 001300;22937.75;22938.25;22930.75;22933;190
20250804 001400;22932.5;22932.5;22928.5;22931.75;143
20250804 001500;22932;22933;22929.75;22930.5;106
20250804 001600;22930.5;22936.75;22930.5;22935;126
20250804 001700;22935;22937.75;22933;22937;102
20250804 001800;22937.25;22942.25;22936.75;22936.75;196
20250804 001900;22936.75;22942;22933.25;22940.75;110
20250804 002000;22941.25;22941.25;22937;22939.25;78
20250804 002100;22939.5;22945;22937.75;22942.75;95
20250804 002200;22942;22943.25;22939.25;22939.5;57
20250804 002300;22939;22942.25;22933;22933;164
20250804 002400;22933.25;22940.75;22933.25;22936.75;67
20250804 002500;22935;22935;22931.75;22934.25;64
20250804 002600;22933.75;22935.5;22929.25;22931.25;91
20250804 002700;22930.5;22934.25;22929.75;22933.75;49
20250804 002800;22935.5;22939.5;22932;22937;59
20250804 002900;22936.25;22938.75;22935;22936.25;68
20250804 003000;22937;22940.25;22936.25;22937;76
20250804 003100;22938;22938.75;22934.25;22937.75;53
20250804 003200;22936.5;22936.75;22930.25;22932.5;144
20250804 003300;22932.75;22935;22931.5;22933;46
20250804 003400;22932;22934.25;22920.75;22921.5;118
20250804 003500;22922;22925.5;22921;22922.5;120
20250804 003600;22922.75;22928.5;22920.5;22926;90
20250804 003700;22925.5;22936;22924.75;22931.5;107
20250804 003800;22932.25;22934.25;22929.25;22934.25;64
20250804 003900;22932;22934.25;22930.5;22933;51
20250804 004000;22932;22932.75;22922.5;22925.75;163
20250804 004100;22924.75;22927.5;22924.25;22926.25;45
20250804 004200;22927.5;22934;22927.25;22930.75;90
20250804 004300;22930.75;22939;22930.75;22935.5;213
20250804 004400;22935.5;22938.5;22925.75;22931.5;200
20250804 004500;22931.75;22934;22929.5;22932.5;95
20250804 004600;22932.25;22937.25;22931;22932.75;88
20250804 004700;22933;22939.25;22933;22938.5;63
20250804 004800;22937.5;22948.5;22937.25;22945.75;360
20250804 004900;22945.75;22949.5;22943.25;22947;174
20250804 005000;22947.5;22951;22945.75;22950.75;98
20250804 005100;22951;22963.75;22948;22958.75;403
20250804 005200;22958.5;22958.75;22947.75;22955;165
20250804 005300;22955;22955;22951.5;22952.25;111
20250804 005400;22953;22957.25;22943.75;22950.5;302
20250804 005500;22950.25;22953.75;22948.75;22953;74
20250804 005600;22953;22953.25;22946.75;22947.5;79
20250804 005700;22947;22949.5;22945;22949.25;99
20250804 005800;22948.5;22949.5;22947.25;22948.5;49
20250804 005900;22948.5;22956.75;22946.75;22953.75;140
20250804 010000;22953.25;22956.25;22953;22956;89
20250804 010100;22956;22957.75;22954.25;22955.75;94
20250804 010200;22955.5;22963.5;22955;22960.25;191
20250804 010300;22960.5;22962.75;22957.5;22958.5;130
20250804 010400;22959.25;22965.25;22958.5;22964;194
20250804 010500;22963.75;22965.5;22955.5;22955.5;191
20250804 010600;22957;22958.5;22953.25;22954.5;121
20250804 010700;22953;22954.25;22944.5;22946;256
20250804 010800;22945.5;22946;22935.5;22938.5;244
20250804 010900;22938.75;22947.25;22935;22935.25;228
20250804 011000;22935;22941.5;22934.75;22936.25;123
20250804 011100;22937.75;22937.75;22932.25;22933.75;144
20250804 011200;22935;22942.25;22935;22942;134
20250804 011300;22942.25;22951;22941.5;22947.5;178
20250804 011400;22949;22949.75;22938.75;22938.75;162
20250804 011500;22939.25;22942.25;22931.75;22935.75;190
20250804 011600;22937.25;22946.25;22936.5;22945;115
20250804 011700;22945.5;22949.25;22943;22945.75;132
20250804 011800;22944.75;22946;22942;22945;79
20250804 011900;22945.5;22952;22945;22951.5;70
20250804 012000;22951.25;22957.25;22950.75;22955.75;141
20250804 012100;22954.75;22963.75;22954.75;22962.5;209
20250804 012200;22962;22962.5;22958;22960.25;126
20250804 012300;22960;22960.75;22953;22953;98
20250804 012400;22954;22960.75;22954;22960.5;82
20250804 012500;22960;22960.25;22948;22950.75;236
20250804 012600;22950.5;22957;22949.75;22956.5;110
20250804 012700;22957;22961;22955.25;22959.25;77
20250804 012800;22959.75;22961.25;22958.25;22959.25;67
20250804 012900;22959.25;22959.75;22955;22957.75;55
20250804 013000;22956.5;22956.75;22949.5;22950.75;97
20250804 013100;22952;22961;22952;22959;101
20250804 013200;22958.75;22962.75;22958.5;22962;59
20250804 013300;22961.5;22961.75;22959.25;22959.75;40
20250804 013400;22960.25;22966;22960.25;22965;150
20250804 013500;22963.75;22964.5;22960;22961.75;44
20250804 013600;22962;22966.75;22962;22964.5;61
20250804 013700;22964.25;22966.75;22954;22956;102
20250804 013800;22956.5;22958.25;22955;22957.25;63
20250804 013900;22956.75;22968.25;22955.75;22966;175
20250804 014000;22965.25;22973;22965.25;22967.75;288
20250804 014100;22967.25;22968.75;22957.25;22958.25;153
20250804 014200;22958.5;22960.25;22953.75;22955;124
20250804 014300;22956;22960.5;22955.75;22956.5;92
20250804 014400;22957.5;22961.75;22957.5;22961.5;44
20250804 014500;22962;22962;22958;22958;52
20250804 014600;22959.25;22965;22959.25;22963.5;120
20250804 014700;22962.75;22963.25;22958.75;22960.25;56
20250804 014800;22960;22961;22958;22959;30
20250804 014900;22959;22961.75;22955.5;22956.25;68
20250804 015000;22956;22960;22955.25;22957;113
20250804 015100;22956.75;22957.5;22954.25;22954.25;47
20250804 015200;22955.25;22959.5;22955;22957;64
20250804 015300;22957.25;22957.25;22951.5;22952.5;101
20250804 015400;22952.25;22956.75;22948.25;22956.75;84
20250804 015500;22955.25;22955.25;22950;22954.75;74
20250804 015600;22954.25;22956.25;22952.25;22954.25;87
20250804 015700;22954.25;22958.75;22953.25;22958.25;64
20250804 015800;22957.25;22957.75;22952.75;22954.5;50
20250804 015900;22954.75;22956.25;22952;22955.25;60
20250804 020000;22955.5;22960.5;22955.5;22959;86
20250804 020100;22958.5;22961;22956.25;22959.5;126
20250804 020200;22960.5;22962;22956.5;22957.5;87
20250804 020300;22958.75;22959;22954.5;22957;54
20250804 020400;22956.75;22956.75;22950.75;22953.25;105
20250804 020500;22954.5;22959.5;22953.75;22957.75;45
20250804 020600;22958.25;22961;22954.5;22960.25;98
20250804 020700;22959.75;22964;22958.75;22963.25;123
20250804 020800;22961.75;22961.75;22958.75;22959.25;60
20250804 020900;22959.25;22961.25;22955.25;22957.25;74
20250804 021000;22958.75;22958.75;22954.5;22956;42
20250804 021100;22956;22956.75;22951.25;22953;111
20250804 021200;22952.75;22953;22950;22951;69
20250804 021300;22952;22954;22951.25;22953.5;51
20250804 021400;22953.75;22960.75;22952;22960;78
20250804 021500;22961;22965.5;22961;22962.75;129
20250804 021600;22963;22968;22962.75;22964.5;133
20250804 021700;22963.75;22965;22960.25;22964.75;57
20250804 021800;22964.25;22965.25;22963.5;22964.5;23
20250804 021900;22964.75;22967.75;22963.75;22967.75;84
20250804 022000;22967.5;22968;22961.25;22962.75;101
20250804 022100;22963.5;22969.5;22962;22967.5;112
20250804 022200;22967.5;22970.75;22966;22968.25;146
20250804 022300;22967.25;22968.75;22965.5;22967.25;54
20250804 022400;22967.25;22968;22963;22966.25;102
20250804 022500;22966.25;22970.5;22965;22970;117
20250804 022600;22969.5;22971.5;22964.5;22964.75;181
20250804 022700;22964.5;22966.75;22964.25;22966.75;46
20250804 022800;22966.25;22966.75;22965;22965.75;19
20250804 022900;22966.75;22966.75;22963.75;22963.75;38
20250804 023000;22963.75;22965;22962.75;22963.25;26
20250804 023100;22962.5;22964.25;22961.75;22963.75;35
20250804 023200;22964;22965;22960.5;22963.5;50
20250804 023300;22963.25;22966;22962.5;22962.75;34
20250804 023400;22962.25;22963.75;22961.25;22962.25;25
20250804 023500;22962;22964.75;22959.5;22964.5;87
20250804 023600;22964.75;22966;22962.5;22962.5;37
20250804 023700;22962.75;22965;22962.75;22964.25;28
20250804 023800;22965;22967.75;22965;22966.5;55
20250804 023900;22967;22969;22965.75;22967.5;50
20250804 024000;22968.5;22970;22966;22966.5;69
20250804 024100;22966.25;22969.25;22965.75;22967.75;34
20250804 024200;22967.5;22968;22966;22967.5;34
20250804 024300;22968;22968.25;22966;22968;19
20250804 024400;22968;22971.5;22968;22971.5;85
20250804 024500;22971;22972;22969.5;22970.5;46
20250804 024600;22970.25;22971;22967.25;22969.5;36
20250804 024700;22969;22973.5;22968.5;22971.5;93
20250804 024800;22971.25;22971.25;22963.25;22970.25;139
20250804 024900;22970.5;22974.5;22970.5;22974;82
20250804 025000;22974;22976.25;22973.75;22975.25;106
20250804 025100;22974.75;22976.25;22974.25;22975.5;45
20250804 025200;22975.25;22975.75;22973.75;22975.25;48
20250804 025300;22975.5;22979;22974.5;22978.5;137
20250804 025400;22977.5;22978;22974;22975.75;107
20250804 025500;22976;22980;22976;22978.5;95
20250804 025600;22978.5;22981;22978;22979;78
20250804 025700;22979;22980.75;22979;22980.75;72
20250804 025800;22981;22982.25;22979.75;22981.25;65
20250804 025900;22980.25;22980.5;22978;22979.25;66
20250804 030000;22979.75;22981.75;22978.5;22978.5;44
20250804 030100;22979;22979.75;22976;22976;102
20250804 030200;22977;22982;22977;22981.5;85
20250804 030300;22981.75;22982;22979;22980.5;65
20250804 030400;22979.75;22981.5;22978.5;22979.25;37
20250804 030500;22978.5;22979.25;22975;22976.25;55
20250804 030600;22975.25;22975.5;22971.5;22971.5;104
20250804 030700;22972;22978.25;22971.5;22978.25;75
20250804 030800;22977.25;22977.25;22974.5;22976.25;47
20250804 030900;22975.75;22981.25;22974.75;22980.5;72
20250804 031000;22980.25;22981;22979.25;22979.25;35
20250804 031100;22979.25;22979.5;22977.75;22977.75;17
20250804 031200;22978;22980.5;22978;22980;34
20250804 031300;22979.5;22980.25;22978;22980.25;35
20250804 031400;22979.75;22980.5;22978.5;22980.25;25
20250804 031500;22979.75;22980;22977.5;22977.5;32
20250804 031600;22977.5;22978.25;22976;22977.5;31
20250804 031700;22976.75;22977.25;22973.25;22973.25;45
20250804 031800;22973.5;22974.75;22969.75;22971.5;118
20250804 031900;22971;22977;22971;22976.5;110
20250804 032000;22975.75;22978.25;22975.25;22978.25;86
20250804 032100;22977;22977;22972.25;22974;76
20250804 032200;22973.75;22974;22971;22974;39
20250804 032300;22972.25;22972.25;22970.75;22971.75;23
20250804 032400;22971;22972;22970;22971.75;47
20250804 032500;22971.5;22973;22970;22971.75;24
20250804 032600;22971;22971;22969.25;22969.75;19
20250804 032700;22970;22971.25;22966.25;22968.75;105
20250804 032800;22969.25;22972.75;22969;22972.75;77
20250804 032900;22971.75;22973;22971.5;22973;17
20250804 033000;22973.25;22975.75;22973.25;22973.5;52
20250804 033100;22975;22975.75;22972.75;22975.75;72
20250804 033200;22975;22977.5;22973.25;22977;38
20250804 033300;22976;22976;22974;22974.25;41
20250804 033400;22974.25;22974.25;22973.5;22973.5;7
20250804 033500;22974.5;22976.5;22974.25;22975.25;14
20250804 033600;22975.5;22975.5;22972.75;22973;20
20250804 033700;22973.75;22975.25;22973.25;22974.5;12
20250804 033800;22974.5;22975.25;22973.25;22974.5;14
20250804 033900;22974.5;22974.5;22971.75;22973.25;24
20250804 034000;22973;22973;22971.75;22972.5;10
20250804 034100;22972.25;22974.75;22970;22974;34
20250804 034200;22974.5;22978.25;22974.5;22978.25;49
20250804 034300;22978.25;22983.75;22977.5;22982;162
20250804 034400;22981.75;22983.25;22980.5;22983.25;41
20250804 034500;22982.75;22984.75;22982;22983.25;76
20250804 034600;22984;22984.25;22979;22982.75;73
20250804 034700;22983.25;22987;22983;22986.25;104
20250804 034800;22986;22988.5;22985.75;22986.5;109
20250804 034900;22987.25;22987.25;22985.5;22986.25;25
20250804 035000;22986.5;22987.5;22985.5;22986.75;56
20250804 035100;22987;22987.5;22984.25;22984.5;51
20250804 035200;22985.75;22986.75;22985;22985;21
20250804 035300;22985.25;22986;22983;22984;52
20250804 035400;22983.5;22983.75;22981.25;22982;46
20250804 035500;22982.75;22988.25;22981;22987;65
20250804 035600;22986.25;22987.5;22986;22986;41
20250804 035700;22986.25;22987.75;22985.75;22986;42
20250804 035800;22986.25;22987;22984.5;22985.25;20
20250804 035900;22986.25;22986.75;22985.75;22986.75;13
20250804 040000;22986.75;22988.25;22986.75;22987.5;23
20250804 040100;22987;22987.75;22985;22985;48
20250804 040200;22984.75;22985;22982.75;22982.75;50
20250804 040300;22983;22983.75;22981;22982.25;54
20250804 040400;22983.25;22984.25;22982.5;22983.5;19
20250804 040500;22984;22984.75;22983;22983.5;25
20250804 040600;22983.5;22983.5;22979.25;22980.75;63
20250804 040700;22980.5;22982.75;22980.25;22982.75;41
20250804 040800;22982.5;22983;22980.75;22983;27
20250804 040900;22982.5;22982.5;22981.25;22981.25;23
20250804 041000;22981;22982.75;22979.25;22982.5;81
