20260503 220100;27890;27926;27877.25;27899.75;1552
20260503 220200;27899.5;27902;27881.75;27888.5;608
20260503 220300;27889;27893.5;27862.5;27866.75;474
20260503 220400;27866.5;27871.25;27856.5;27863.5;391
20260503 220500;27861.75;27879.25;27858;27879.25;271
20260503 220600;27878;27891.75;27861.5;27872.5;456
20260503 220700;27871.25;27880.25;27870.5;27880.25;208
20260503 220800;27879;27881;27871;27873.5;161
20260503 220900;27873;27879.5;27869.75;27871.75;159
20260503 221000;27871.25;27873.25;27867.5;27869.75;148
20260503 221100;27869;27871.25;27862;27865;195
20260503 221200;27865.75;27875;27865.5;27870;183
20260503 221300;27870.5;27877.25;27864.25;27866.5;150
20260503 221400;27866;27866;27856.75;27861.5;146
20260503 221500;27861.75;27867.5;27861.5;27866;104
20260503 221600;27866;27874;27866;27869.25;173
20260503 221700;27869;27871.25;27862;27862;139
20260503 221800;27863.5;27872.25;27862.75;27870;118
20260503 221900;27869.75;27875;27869.5;27871.5;94
20260503 222000;27871.5;27873.25;27866;27872.5;145
20260503 222100;27874;27879.75;27867.5;27868;161
20260503 222200;27868.5;27870;27858;27860;192
20260503 222300;27858;27858;27842.75;27844.25;471
20260503 222400;27843.75;27846.25;27837.5;27844.5;212
20260503 222500;27844.75;27849;27841;27846.75;161
20260503 222600;27845.75;27847.25;27842;27847.25;71
20260503 222700;27849.25;27851.75;27848;27849;95
20260503 222800;27850.25;27852.5;27846;27851.5;114
20260503 222900;27851;27852.25;27846;27847.75;101
20260503 223000;27847.75;27847.75;27841.5;27845.5;94
20260503 223100;27846.75;27847.5;27842.25;27844;82
20260503 223200;27844.75;27845.25;27840.25;27842.25;54
20260503 223300;27843;27845.75;27841;27844.75;71
20260503 223400;27844.25;27846.5;27843.5;27846.25;42
20260503 223500;27847;27857;27847;27853;288
20260503 223600;27853.25;27853.25;27845.75;27847.75;142
20260503 223700;27846.75;27852;27846;27846;104
20260503 223800;27848.25;27853;27845.75;27849;49
20260503 223900;27849;27853;27846.5;27852;114
20260503 224000;27851;27851.5;27847.75;27849.75;111
20260503 224100;27850;27854.25;27849.25;27851.75;202
20260503 224200;27851.25;27853.75;27850.75;27853.25;103
20260503 224300;27854.25;27857.5;27853.5;27857;112
20260503 224400;27857.5;27860.75;27856;27858;189
20260503 224500;27857.5;27857.5;27853.75;27854.5;210
20260503 224600;27854.75;27869.75;27854.5;27868.5;337
20260503 224700;27868.25;27876;27868.25;27871;300
20260503 224800;27870.25;27871.25;27859.5;27861;218
20260503 224900;27861.75;27864.75;27860.25;27861;111
20260503 225000;27861.5;27861.5;27845;27846.5;170
20260503 225100;27845.75;27854.75;27836;27852;336
20260503 225200;27853;27854.5;27844.75;27849.75;109
20260503 225300;27850;27852.75;27848;27851.5;96
20260503 225400;27849.5;27853;27847.5;27850.5;47
20260503 225500;27850.75;27854.75;27849.75;27854;73
20260503 225600;27854.75;27858.5;27850.5;27852.25;90
20260503 225700;27850.5;27856;27847.5;27852;103
20260503 225800;27850.5;27855;27850.25;27851.75;201
